name,lack_of_cohesion_in_methods,number_of_methods,number_of_attributes
ch.blinkenlights.android.vanilla.MediaAdapter,211,26,19
ch.blinkenlights.android.vanilla.PlaylistActivity,62,16,16
ch.blinkenlights.android.vanilla.MediaUtils,192,21,18
ch.blinkenlights.android.vanilla.FileSystemAdapter,74,17,11
ch.blinkenlights.android.vanilla.PlaybackActivity,614,36,32
ch.blinkenlights.android.vanilla.FullPlaybackActivity,302,29,42
ch.blinkenlights.android.vanilla.LibraryActivity,455,38,40
ch.blinkenlights.android.vanilla.PlaybackService,1734,80,99
ch.blinkenlights.android.vanilla.LibraryPagerAdapter,318,33,38
com.amaze.filemanager.activities.DbViewer,175,22,15
com.amaze.filemanager.fragments.Main,586,44,85
com.amaze.filemanager.ui.Layoutelements,64,17,12
com.amaze.filemanager.adapters.ZipAdapter,87,19,12
com.amaze.filemanager.activities.MainActivity,1997,70,85
com.amaze.filemanager.adapters.Recycleradapter,65,22,28
com.amaze.filemanager.fragments.ZipViewer,69,23,43
com.amaze.filemanager.activities.TextReader,101,18,16
com.amaze.filemanager.adapters.RarAdapter,114,21,12
com.androidemu.nes.FileChooser,82,16,10
com.androidemu.nes.EmulatorActivity,2666,85,38
com.androidemu.Emulator,482,32,21
com.androidemu.nes.NetPlayService,297,30,28
com.androidemu.nes.input.VirtualKeypad,206,25,23
org.bottiger.podcast.DiscoveryFragment,68,16,17
org.bottiger.podcast.views.PlayPauseImageView,168,24,20
org.bottiger.podcast.provider.Subscription,673,43,23
org.bottiger.podcast.adapters.decoration.DragSortRecycler,112,20,20
org.bottiger.podcast.provider.FeedItem,3890,96,42
org.bottiger.podcast.views.PlayerButtonView,131,22,22
org.bottiger.podcast.DrawerActivity,191,22,34
org.bottiger.podcast.adapters.PlaylistAdapter,150,20,12
org.bottiger.podcast.SubscriptionsFragment,144,20,21
org.bottiger.podcast.service.Downloader.EpisodeDownloadManager,154,20,14
org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,2732,81,57
org.bottiger.podcast.PodcastBaseFragment,155,19,11
org.bottiger.podcast.adapters.DiscoverySearchAdapter,62,16,9
org.bottiger.podcast.service.PodcastService,135,18,21
org.bottiger.podcast.FeedActivity,237,26,31
org.bottiger.podcast.ViewServer,219,26,21
org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller,1915,67,52
org.bottiger.podcast.views.SlidingTab.SlidingTabLayout,66,17,9
org.bottiger.podcast.service.PlayerService,225,35,29
org.bottiger.podcast.Player.SoundWavesPlayer,214,29,22
org.bottiger.podcast.views.TopPlayer,217,31,40
org.bottiger.podcast.utils.UIUtils,296,25,20
org.bottiger.podcast.utils.FragmentUtils,63,15,9
org.bottiger.podcast.playlist.Playlist,557,43,19
org.bottiger.podcast.PlaylistFragment,174,24,26
org.bottiger.podcast.views.PlayerSeekbar,206,32,21
org.bottiger.podcast.views.dialogs.DialogPlaylistContent,200,24,14
org.bottiger.podcast.views.FeedViewQueueButton,197,26,30
org.mariotaku.twidere.fragment.support.AbsContentRecyclerViewFragment,507,38,12
org.mariotaku.twidere.adapter.ArrayAdapter,104,33,9
org.mariotaku.twidere.view.TabPagerIndicator$TabPagerIndicatorAdapter,71,15,9
org.mariotaku.twidere.activity.support.CustomTabEditorActivity,57,15,18
org.mariotaku.twidere.adapter.AbsUsersAdapter,168,20,12
org.mariotaku.twidere.api.twitter.model.impl.StatusImpl,507,35,26
org.mariotaku.twidere.activity.support.SignInActivity,261,27,24
org.mariotaku.twidere.view.ShapedImageView,497,34,23
org.mariotaku.twidere.fragment.support.UserListFragment,222,25,11
org.mariotaku.twidere.fragment.support.UserFragment,2020,69,74
org.mariotaku.twidere.adapter.AbsStatusesAdapter,538,36,22
org.mariotaku.twidere.model.ParcelableAccount,180,20,9
org.mariotaku.twidere.fragment.support.AccountsDashboardFragment,698,40,22
org.mariotaku.twidere.fragment.support.AbsStatusesFragment,533,34,9
org.mariotaku.twidere.adapter.BaseArrayAdapter,87,15,9
org.mariotaku.twidere.adapter.MessageEntriesAdapter,318,28,20
org.mariotaku.twidere.activity.support.HomeActivity,1354,61,24
org.mariotaku.twidere.preference.SeekBarDialogPreference,177,23,11
org.mariotaku.twidere.api.twitter.model.impl.UserListImpl,92,16,12
org.mariotaku.twidere.model.ParcelableUser,52,17,31
org.mariotaku.twidere.service.BackgroundOperationService,165,23,11
org.mariotaku.twidere.adapter.MessageConversationAdapter,90,17,15
org.mariotaku.twidere.activity.support.UserListSelectorActivity,113,18,10
org.mariotaku.twidere.util.TwidereLinkify,136,20,27
org.mariotaku.twidere.fragment.support.StatusFragment$StatusAdapter,1533,59,34
org.mariotaku.twidere.adapter.AbsUserListsAdapter,186,21,13
org.mariotaku.twidere.adapter.AbsActivitiesAdapter,620,37,25
org.mariotaku.twidere.model.ParcelableMedia,63,18,15
org.mariotaku.twidere.app.TwidereApplication,453,31,23
org.mariotaku.twidere.util.AsyncTwitterWrapper,945,75,14
org.mariotaku.twidere.util.MediaPreviewUtils,245,23,78
org.mariotaku.twidere.service.StreamingService,69,15,9
org.mariotaku.twidere.activity.SettingsActivity$HeaderAdapter,130,20,9
org.mariotaku.twidere.preference.ThemeBackgroundPreference,103,18,10
org.mariotaku.twidere.util.Utils,33640,260,9
org.mariotaku.twidere.activity.support.MediaViewerActivity$VideoPageFragment,331,30,17
org.mariotaku.twidere.view.TintedStatusFrameLayout,71,15,11
org.mariotaku.twidere.view.HeaderDrawerLayout,1122,52,13
org.mariotaku.twidere.activity.support.LinkHandlerActivity,466,33,9
org.mariotaku.twidere.view.holder.StatusViewHolder$DummyStatusHolderAdapter,592,36,16
org.mariotaku.twidere.api.twitter.model.impl.ActivityImpl,526,36,15
org.mariotaku.twidere.fragment.CustomTabsFragment,206,24,9
org.mariotaku.twidere.fragment.support.UserProfileEditorFragment,289,27,28
org.mariotaku.twidere.fragment.support.AccountsManagerFragment,105,19,10
org.mariotaku.twidere.provider.TwidereDataProvider,1230,53,14
org.mariotaku.twidere.fragment.support.DraftsFragment,148,21,10
org.mariotaku.twidere.api.twitter.model.impl.UserImpl,1224,52,47
org.mariotaku.twidere.fragment.support.StatusFragment,475,39,19
org.mariotaku.twidere.view.holder.StatusViewHolder,50,17,20
org.mariotaku.twidere.fragment.support.MessagesConversationFragment,1183,54,40
org.mariotaku.twidere.view.TabPagerIndicator,883,47,15
org.mariotaku.twidere.view.LinePageIndicator,252,29,13
org.mariotaku.twidere.model.CustomTabConfiguration,65,15,17
org.mariotaku.twidere.activity.support.ComposeActivity,2038,73,42
org.mariotaku.twidere.graphic.TextDrawable,168,29,13
org.ligi.passandroid.model.PassImpl,1621,59,28
org.ligi.passandroid.ui.edit_fragments.BarCodeIntentIntegrator,424,37,23
org.ligi.passandroid.ui.PassListActivity,127,18,9
jackpal.androidterm.util.TermSettings,628,40,79
jackpal.androidterm.GenericTermSession,92,16,10
jackpal.androidterm.emulatorview.TermSession,665,42,27
jackpal.androidterm.Term,1872,68,37
jackpal.androidterm.emulatorview.TermKeyListener,172,25,23
jackpal.androidterm.emulatorview.TerminalEmulator,3050,85,75
jackpal.androidterm.compat.ActionBarCompat,153,18,9
jackpal.androidterm.shortcuts.FSNavigator,308,29,21
jackpal.androidterm.emulatorview.UnicodeTranscript,175,31,13
jackpal.androidterm.TermViewFlipper,196,24,14
jackpal.androidterm.emulatorview.EmulatorView,2794,88,57
jackpal.androidterm.shortcuts.AddShortcut,29,15,11
org.wordpress.android.ui.posts.PostsActivity,358,32,17
org.wordpress.android.ui.WPActionBarActivity,506,36,32
org.wordpress.android.ui.reader.adapters.ReaderPostAdapter,602,40,22
org.wordpress.android.ui.accounts.NewBlogFragment,196,25,10
org.wordpress.android.models.Theme,319,30,13
org.wordpress.android.ui.stats.StatsCursorTreeFragment,359,30,15
org.wordpress.android.models.Blog,2306,72,27
org.wordpress.android.ui.media.MediaGridFragment,1001,54,39
org.wordpress.android.ui.ShareIntentReceiverActivity,108,17,11
org.wordpress.android.ui.themes.ThemeTabFragment,110,17,9
org.wordpress.android.models.Note,778,41,26
org.wordpress.android.ui.media.MediaItemFragment,129,18,14
org.wordpress.android.ui.themes.ThemePreviewFragment,102,16,10
org.wordpress.android.ui.media.MediaGallerySettingsFragment,54,17,20
org.wordpress.android.models.Comment,287,30,15
org.wordpress.android.ui.stats.StatsCursorFragment,139,19,10
org.wordpress.android.ui.media.MediaEditFragment,238,25,14
org.wordpress.android.ui.reader.ReaderTagActivity,111,19,14
org.wordpress.android.models.StatsSummary,630,37,19
org.wordpress.android.datasets.ReaderPostTable$PostColumnIndexes,301,27,25
org.wordpress.android.models.ReaderComment,63,15,12
org.wordpress.android.ui.themes.ThemeBrowserActivity,361,30,13
org.wordpress.android.ui.stats.StatsActivity,351,31,20
org.wordpress.android.ui.posts.EditPostActivity,295,30,22
org.wordpress.android.ui.notifications.FollowRow,238,24,10
org.wordpress.android.ui.posts.EditPostSettingsFragment,342,32,23
org.wordpress.android.ui.reader.ReaderPostListFragment,1834,64,18
org.wordpress.android.util.HtmlToSpannedConverter,387,30,11
org.wordpress.android.ui.media.MediaGridAdapter,244,25,12
org.wordpress.android.models.ReaderPost,925,47,29
org.wordpress.android.util.WPMobileStatsUtil,185,26,46
org.wordpress.android.ui.comments.CommentDetailFragment,1378,57,23
org.wordpress.android.models.MediaFile,878,48,22
org.wordpress.android.ui.accounts.NewUserPageFragment,189,26,11
org.wordpress.android.ui.accounts.WelcomeFragmentSignIn,429,35,22
org.wordpress.android.ui.reader.ReaderUserListActivity,81,15,10
org.wordpress.android.widgets.photoview.PhotoViewAttacher,1005,50,34
org.wordpress.android.models.Post,2764,77,36
org.wordpress.android.ui.posts.SelectCategoriesActivity,173,23,13
org.wordpress.android.ui.posts.PostsListFragment,454,36,12
org.wordpress.android.ui.accounts.SetupBlog,130,21,12
org.wordpress.android.ui.posts.EditPostContentFragment,1304,57,36
org.wordpress.android.ui.reader.adapters.ReaderCommentAdapter,39,19,18
org.wordpress.android.ui.media.MediaGalleryPickerActivity,234,25,17
org.wordpress.android.ui.prefs.PreferencesActivity,344,28,14
org.wordpress.android.ui.media.MediaBrowserActivity,695,47,14
org.wordpress.android.ui.comments.CommentsListFragment,1387,55,16
org.wordpress.android.ui.reader.ReaderPostDetailFragment,5949,114,37
org.wordpress.android.WordPress,324,29,27
org.wordpress.android.ui.themes.ThemeDetailsFragment,189,22,17
org.wordpress.android.ui.comments.CommentAdapter,112,24,15
org.wordpress.android.ui.notifications.NotificationsActivity,515,35,11
org.wordpress.android.ui.reader.ReaderReblogActivity,110,17,14
org.wordpress.android.util.LinePageIndicator,281,30,13
org.telegram.messenger.ApplicationLoader,78,16,15
org.telegram.messenger.HandshakeAction,114,20,17
org.telegram.messenger.Datacenter,165,31,27
org.telegram.messenger.FileLoader,1771,63,23
org.telegram.messenger.ConnectionsManager,5772,113,44
org.telegram.messenger.FileUploadOperation,319,30,25
org.telegram.messenger.Utilities,396,29,10
org.telegram.messenger.TcpConnection,604,41,21
org.telegram.messenger.FileLoadOperation,116,25,28
com.nexes.manager.EventHandler,359,31,18
com.nexes.manager.Settings,93,19,11
com.nexes.manager.Main,28,17,39
com.nexes.manager.FileManager,195,23,11
org.opengpx.lib.map.OsmMapViewerActivity,45,15,17
org.opengpx.CacheDetailActivity,598,44,12
org.opengpx.AdvancedSearchActivity,688,41,10
org.opengpx.lib.geocache.Cache,119,19,24
org.opengpx.GoogleMapViewerActivity,91,18,14
org.opengpx.SearchListActivity,526,40,11
org.opengpx.lib.CacheDatabase,2290,77,28
org.opengpx.CacheListActivity,660,45,11
org.brandroid.openmanager.data.OpenSMB,126,45,9
org.brandroid.openmanager.data.OpenPath,3267,82,10
org.brandroid.openmanager.data.OpenFTP,636,45,15
org.brandroid.openmanager.util.RootManager,411,35,18
org.brandroid.openmanager.data.OpenFile,1324,68,10
org.brandroid.openmanager.views.SeekBarActionView,165,23,9
org.brandroid.openmanager.activities.OpenExplorer,13128,169,77
org.brandroid.openmanager.data.FTPManager,332,33,9
org.brandroid.openmanager.util.EventHandler$BackgroundWork,503,38,24
org.brandroid.openmanager.fragments.LogViewerFragment,286,28,9
org.brandroid.openmanager.data.OpenSFTP,364,44,15
org.brandroid.openmanager.fragments.PickerFragment,70,16,11
org.brandroid.openmanager.fragments.TextEditorFragment,1184,60,18
org.brandroid.openmanager.data.OpenSearch,578,40,12
org.brandroid.openmanager.fragments.ContentFragment,3001,90,23
org.brandroid.openmanager.util.EventHandler,1003,47,20
org.brandroid.openmanager.util.ShellSession,108,17,18
org.brandroid.openmanager.adapters.OpenBookmarks,1262,57,18
org.brandroid.openmanager.adapters.ContentAdapter,483,38,19
org.brandroid.openmanager.util.BetterPopupWindow,860,49,23
org.brandroid.openmanager.data.BookmarkHolder,277,27,11
org.brandroid.openmanager.data.OpenMediaStore,359,31,10
org.brandroid.openmanager.activities.OpenApplication,159,19,11
org.brandroid.openmanager.data.OpenFileRoot,846,44,9
org.brandroid.openmanager.adapters.IconContextMenu,615,39,18
org.brandroid.openmanager.adapters.OpenPathDbAdapter,47,18,14
org.brandroid.openmanager.data.OpenCursor,670,40,15
org.brandroid.openmanager.data.OpenSCP,413,31,13
org.adblockplus.android.ProxyService,368,33,28
org.adblockplus.android.AdblockPlus,317,30,11
aarddict.android.LookupActivity,150,20,10
aarddict.android.ArticleViewActivity,1837,71,29
aarddict.android.DictionaryService,116,25,17
com.watabou.pixeldungeon.scenes.PixelScene,96,16,16
com.watabou.pixeldungeon.actors.Actor,107,26,10
com.watabou.pixeldungeon.actors.mobs.Mob,582,37,25
com.watabou.pixeldungeon.actors.Char,470,37,23
com.watabou.pixeldungeon.items.wands.Wand,763,43,25
com.watabou.pixeldungeon.items.Item,894,48,34
com.watabou.pixeldungeon.sprites.CharSprite,320,32,26
com.watabou.pixeldungeon.items.rings.Ring,300,28,13
com.watabou.pixeldungeon.actors.hero.Hero,1099,59,37
com.watabou.pixeldungeon.items.potions.Potion,235,26,13
com.watabou.pixeldungeon.levels.CityBossLevel,103,18,12
com.watabou.pixeldungeon.levels.Level,444,36,45
com.watabou.pixeldungeon.items.armor.Armor,132,25,12
com.watabou.pixeldungeon.scenes.GameScene,255,43,29
com.watabou.pixeldungeon.ui.QuickSlot,218,28,14
com.watabou.pixeldungeon.levels.CavesBossLevel,108,17,10
com.watabou.pixeldungeon.items.DewVial,44,16,14
com.watabou.pixeldungeon.scenes.InterlevelScene,201,22,19
com.watabou.pixeldungeon.actors.hero.HeroClass,112,16,11
com.watabou.pixeldungeon.Dungeon,258,32,39
com.watabou.pixeldungeon.levels.HallsBossLevel,116,17,10
com.eolwral.osmonitor.OSMonitorService,205,26,26
com.eolwral.osmonitor.ui.MessageFragment,1165,54,24
com.eolwral.osmonitor.ui.ProcessFragment,1299,55,29
com.eolwral.osmonitor.ui.MiscFragment,196,24,14
com.eolwral.osmonitor.ui.ConnectionFragment,343,30,12
org.adw.launcher.DragLayer,54,17,58
org.adw.launcher.AllAppsSlidingView,3965,102,64
org.adw.launcher.DesktopIndicator,62,20,13
org.adw.launcher.Workspace,4386,105,63
org.adw.launcher.HolderLayout,218,24,31
org.adw.launcher.DeleteZone,80,20,22
org.adw.launcher.MiniLauncher,258,29,21
org.adw.launcher.CustomScroller,93,23,27
org.adw.launcher.ResizeViewHandler,110,21,31
org.adw.launcher.Search,154,20,14
org.adw.launcher.LauncherModel,2580,77,24
org.adw.launcher.ActionButton,301,30,18
org.adw.launcher.NumberPicker,350,32,21
org.adw.launcher.ApplicationsAdapter,168,21,11
org.adw.launcher.Launcher,11939,179,152
org.adw.launcher.CellLayout,906,49,25
org.adw.launcher.AllAppsGridView,161,22,32
org.adw.launcher.MyLauncherSettings,95,15,15
net.sourceforge.opencamera.MyApplicationInterface,5747,122,36
net.sourceforge.opencamera.MainActivity,4486,108,38
net.sourceforge.opencamera.CameraController.CameraController2,6238,133,42
net.sourceforge.opencamera.CameraController.CameraController2$CameraSettings,1826,64,24
net.sourceforge.opencamera.Preview.Preview,18994,221,125
org.hystudio.android.dosbox.GLSurfaceView_SDL,152,25,10
org.hystudio.android.dosbox.GLSurfaceView_SDL$GLThread,43,15,13
org.hystudio.android.dosbox.DemoRenderer,98,16,10
com.google.android.stardroid.source.proto.SourceProto$AstronomicalSourceProto,1560,60,19
com.google.android.stardroid.activities.DynamicStarMapActivity,112,36,38
com.google.android.stardroid.control.AstronomerModelImpl,184,25,19
com.google.android.stardroid.renderer.SkyRenderer,164,29,13
com.google.android.stardroid.control.ControllerGroup,141,23,10
com.google.android.stardroid.source.proto.SourceProto$PointElementProto,888,44,14
com.google.android.stardroid.provider.ephemeris.Planet,107,19,16
com.google.android.stardroid.source.proto.SourceProto$LineElementProto,704,40,10
com.google.android.stardroid.renderer.RenderState,228,25,14
com.google.android.stardroid.source.proto.SourceProto$LabelElementProto,1054,48,17
org.tint.model.HistoryAdapter,80,17,10
org.tint.ui.activities.TintBrowserActivity,133,26,14
org.tint.ui.views.PhoneUrlBar,510,37,16
org.tint.ui.views.TabView,57,15,10
org.tint.addons.Addon,57,39,12
org.tint.ui.managers.BasePhoneUIManager,143,26,11
org.tint.ui.managers.BaseUIManager,928,52,15
org.tint.ui.views.ScrollerView,2139,78,28
org.tint.ui.preferences.SearchEnginePreference,204,24,13
org.tint.ui.managers.LegacyPhoneUIManager,542,36,17
org.tint.ui.preferences.WebsitesSettingsFragment$SiteAdapter,84,16,9
org.tint.ui.fragments.HistoryFragment,59,19,20
org.tint.providers.BookmarksWrapper,94,24,12
org.tint.ui.views.TabletUrlBar,105,19,10
org.tint.ui.fragments.BookmarksFragment,150,21,21
org.tint.ui.views.TabsScroller,726,44,16
org.tint.ui.views.PanelLayout,50,17,21
org.connectbot.service.TerminalBridge,781,51,33
org.connectbot.service.TerminalKeyListener,58,16,16
org.connectbot.HostEditorFragment,622,41,43
org.connectbot.bean.PortForwardBean,51,19,9
org.connectbot.TerminalView,276,29,32
org.connectbot.util.UberColorPickerDialog$ColorPickerView,231,30,49
org.connectbot.service.TerminalManager,844,48,26
org.connectbot.ConsoleActivity,887,50,40
org.connectbot.transport.SSH,757,43,19
org.connectbot.bean.PubkeyBean,147,22,12
org.connectbot.bean.HostBean,652,44,19
org.connectbot.HostListActivity,64,17,13
org.connectbot.GeneratePubkeyActivity,247,26,16
com.internalpositioning.find3.find3app.ScanService,86,17,19
net.gsantner.markor.activity.DocumentEditFragment,51,26,11
org.freshrss.easyrss.network.AbsDataSyncer,139,19,11
org.freshrss.easyrss.data.Setting,48,13,38
org.freshrss.easyrss.data.DataMgr,1255,62,12
org.freshrss.easyrss.view.OverScrollView,285,30,17
org.freshrss.easyrss.Home,47,23,9
org.freshrss.easyrss.VerticalSingleItemView,124,21,19
org.freshrss.easyrss.WebpageItemViewCtrl,370,29,11
org.freshrss.easyrss.FeedViewCtrl,1414,56,15
org.freshrss.easyrss.view.ScaleGestureDetector,57,14,22
org.freshrss.easyrss.LoginViewCtrl,313,26,9
org.freshrss.easyrss.view.TouchImageView,246,29,18
org.freshrss.easyrss.data.Subscription,298,29,22
org.freshrss.easyrss.view.HorizontalPager,40,16,18
org.freshrss.easyrss.data.ItemTag,33,11,9
org.freshrss.easyrss.HomeViewCtrl,813,42,13
org.freshrss.easyrss.data.Item,559,39,27
org.freshrss.easyrss.data.Transaction,82,17,18
org.freshrss.easyrss.data.DataProvider,52,13,28
org.freshrss.easyrss.network.NetworkMgr,199,23,17
org.freshrss.easyrss.data.Tag,78,17,13
org.freshrss.easyrss.view.Scroller,76,16,27
ch.abertschi.adfree.view.setting.SettingsActivity,207,23,9
ch.abertschi.adfree.model.RemoteSetting,187,22,10
ch.abertschi.adfree.plugin.interdimcable.InterdimCablePlugin,371,31,12
com.amaze.filemanager.asynchronous.services.ZipService,104,17,13
com.amaze.filemanager.activities.DatabaseViewerActivity,15,11,9
com.amaze.filemanager.fragments.ProcessViewerFragment,16,12,21
com.amaze.filemanager.adapters.CompressedExplorerAdapter,183,23,11
com.amaze.filemanager.asynchronous.services.EncryptService,248,25,19
com.amaze.filemanager.ui.dialogs.GeneralDialogCreation$1,12,8,13
com.amaze.filemanager.utils.application.AppConfig,137,18,11
com.amaze.filemanager.asynchronous.services.DecryptService,273,26,19
com.amaze.filemanager.fragments.AppsListFragment,25,10,10
com.amaze.filemanager.adapters.RecyclerAdapter,135,35,25
com.amaze.filemanager.fragments.MainFragment,2077,78,50
com.amaze.filemanager.fragments.CompressedExplorerFragment,208,28,31
com.amaze.filemanager.asynchronous.services.ExtractService,131,19,13
com.amaze.filemanager.fragments.FtpServerFragment,765,46,23
com.amaze.filemanager.utils.ServiceWatcherUtil,65,15,12
com.amaze.filemanager.ui.views.appbar.BottomBar,228,28,21
com.amaze.filemanager.asynchronous.services.CopyService,267,26,18
com.amaze.filemanager.ui.views.drawer.Drawer,379,38,20
com.amaze.filemanager.adapters.data.LayoutElementParcelable,36,13,16
com.amaze.filemanager.activities.MainActivity,2958,89,43
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask,138,24,16
com.amaze.filemanager.ui.views.Indicator,908,48,44
com.amaze.filemanager.utils.DataUtils,536,41,11
com.amaze.filemanager.activities.TextEditorActivity,179,27,19
net.pmarks.chromadoze.UIState,105,23,12
net.pmarks.chromadoze.NoiseService,106,17,10
net.pmarks.chromadoze.EqualizerView,47,14,15
net.pmarks.chromadoze.SampleShuffler,106,20,11
com.liato.bankdroid.banking.Bank,1656,61,32
com.liato.bankdroid.banking.banks.sebkort.model.BillingUnit,626,37,19
com.liato.bankdroid.banking.banks.seb.SEB,26,8,11
com.liato.bankdroid.lockpattern.LockPatternUtils,219,23,15
com.liato.bankdroid.banking.banks.icabanken.model.IcaBankenAccountList,190,21,10
com.liato.bankdroid.banking.Account,297,27,11
com.liato.bankdroid.banking.banks.avanza.model.Account,206,21,21
com.liato.bankdroid.banking.banks.sebkort.model.Transaction,378,29,15
com.liato.bankdroid.banking.banks.bitcoin.model.Transfer,87,14,14
com.liato.bankdroid.lockpattern.ChooseLockPattern,23,15,17
com.liato.bankdroid.banking.banks.icabanken.model.IcaBankenAccount,378,29,14
com.liato.bankdroid.banking.banks.Skandiabanken,16,9,19
com.liato.bankdroid.lockpattern.LockPatternView,207,31,38
com.liato.bankdroid.banking.banks.lansforsakringar.Lansforsakringar,31,10,13
com.liato.bankdroid.banking.banks.SveaDirekt,30,9,13
com.liato.bankdroid.banking.banks.coop.model.web.Result,231,23,11
com.liato.bankdroid.banking.banks.sebkort.model.PendingTransactions,108,17,9
com.liato.bankdroid.banking.banks.avanza.model.Position,105,15,15
com.liato.bankdroid.api.configuration.FieldBuilder$BasicField,166,20,11
com.liato.bankdroid.liveview.LiveViewService,21,11,10
com.liato.bankdroid.lockpattern.ConfirmLockPattern,142,20,18
com.liato.bankdroid.banking.banks.ica.model.Overview,488,33,16
com.liato.bankdroid.banking.banks.coop.Coop,47,11,10
com.liato.bankdroid.banking.banks.lansforsakringar.model.response.Account,190,21,10
com.liato.bankdroid.lockpattern.ChooseLockPatternExample,31,10,9
com.liato.bankdroid.provider.BankTransactionsProvider,39,10,14
com.shkmishra.lyrically.LyricsService,1310,56,28

